iter	Passed	Remaining
574	6023	4451
575	6037	4444
576	6048	4433
577	6061	4425
578	6076	4418
579	6089	4409
580	6105	4402
581	6116	4392
582	6124	4380
583	6139	4373
584	6149	4362
585	6160	4352
586	6175	4344
587	6190	4337
588	6203	4328
589	6219	4321
590	6229	4311
591	6244	4303
592	6257	4295
593	6267	4283
594	6283	4277
595	6294	4266
596	6307	4257
597	6323	4250
598	6336	4241
599	6351	4234
600	6366	4226
601	6375	4214
602	6387	4205
603	6400	4196
604	6410	4185
605	6419	4173
606	6437	4167
607	6473	4173
608	6502	4174
609	6517	4167
610	6534	4160
611	6553	4155
612	6576	4152
613	6590	4143
614	6606	4135
615	6621	4127
616	6634	4118
617	6642	4106
618	6657	4097
619	6673	4090
620	6690	4083
621	6708	4077
622	6723	4068
623	6732	4057
624	6743	4045
625	6752	4034
626	6767	4026
627	6777	4014
628	6784	4001
629	6795	3990
630	6807	3980
631	6815	3968
632	6828	3959
633	6836	3946
634	6844	3934
635	6856	3924
636	6865	3912
637	6878	3902
638	6888	3891
639	6928	3897
640	6943	3888
641	6956	3879
642	6976	3873
643	6985	3861
644	7005	3855
645	7019	3846
646	7027	3834
647	7044	3826
648	7058	3817
649	7074	3809
650	7088	3800
651	7096	3787
652	7112	3779
653	7129	3771
654	7146	3764
655	7162	3755
656	7177	3747
657	7194	3739
658	7203	3727
659	7209	3713
660	7223	3704
661	7239	3696
662	7269	3694
663	7284	3686
664	7318	3686
665	7335	3678
666	7346	3667
667	7364	3660
668	7389	3656
669	7413	3651
670	7431	3643
671	7450	3636
672	7467	3628
673	7483	3619
674	7500	3611
675	7521	3604
676	7537	3595
677	7553	3587
678	7565	3576
679	7584	3569
680	7601	3560
681	7623	3554
682	7638	3545
683	7663	3540
684	7683	3533
685	7700	3524
686	7714	3514
687	7731	3506
688	7748	3497
689	7765	3488
690	7782	3479
691	7799	3471
692	7811	3460
693	7819	3447
694	7835	3438
695	7850	3429
696	7870	3421
697	7890	3414
698	7910	3406
699	7922	3395
700	7931	3382
701	7939	3370
702	7964	3364
703	7974	3352
704	7996	3345
705	8022	3340
706	8039	3331
707	8058	3323
708	8076	3314
709	8100	3308
710	8107	3295
711	8117	3283
712	8126	3271
713	8145	3262
714	8158	3251
715	8176	3243
716	8201	3237
717	8219	3228
718	8235	3218
719	8254	3210
720	8269	3200
721	8286	3190
722	8302	3181
723	8317	3170
724	8334	3161
725	8350	3151
726	8359	3139
727	8374	3128
728	8391	3119
729	8413	3111
730	8433	3103
731	8447	3092
732	8456	3080
733	8469	3069
734	8479	3057
735	8494	3046
736	8503	3034
737	8519	3024
738	8536	3014
739	8552	3004
740	8569	2995
741	8584	2984
742	8600	2974
743	8619	2965
744	8636	2956
745	8652	2946
746	8670	2936
747	8686	2926
748	8704	2917
749	8719	2906
750	8735	2896
751	8752	2886
752	8766	2875
753	8779	2864
754	8797	2854
755	8816	2845
756	8830	2834
757	8839	2822
758	8849	2809
759	8864	2799
760	8880	2788
761	8896	2778
762	8914	2769
763	8932	2759
764	8948	2748
765	8960	2737
766	8969	2724
767	8978	2712
768	8994	2701
769	9009	2691
770	9029	2681
771	9046	2671
772	9064	2661
773	9083	2652
774	9097	2641
775	9115	2631
776	9133	2621
777	9153	2611
778	9165	2600
779	9181	2589
780	9194	2578
781	9211	2568
782	9226	2557
783	9244	2546
784	9251	2533
785	9264	2522
786	9275	2510
787	9290	2499
788	9305	2488
789	9323	2478
790	9339	2467
791	9353	2456
792	9371	2446
793	9388	2435
794	9408	2426
795	9428	2416
796	9445	2405
797	9456	2393
798	9472	2382
799	9487	2371
800	9505	2361
801	9524	2351
802	9541	2340
803	9556	2329
804	9565	2317
805	9573	2304
806	9586	2292
807	9606	2282
808	9622	2271
809	9639	2261
810	9657	2250
811	9669	2238
812	9684	2227
813	9701	2216
814	9716	2205
815	9735	2195
816	9753	2184
817	9761	2171
818	9767	2158
819	9780	2146
820	9795	2135
821	9804	2123
822	9828	2113
823	9841	2102
824	9852	2090
825	9870	2079
826	9879	2066
827	9886	2053
828	9900	2042
829	9912	2030
830	9918	2017
831	9934	2006
832	9942	1993
833	9959	1982
834	9973	1970
835	9981	1958
836	9996	1946
837	10011	1935
838	10026	1924
839	10032	1910
840	10044	1898
841	10054	1886
842	10069	1875
843	10080	1863
844	10094	1851
845	10105	1839
846	10118	1827
847	10127	1815
848	10140	1803
849	10155	1792
850	10161	1779
851	10175	1767
852	10190	1756
853	10204	1744
854	10210	1731
855	10218	1718
856	10224	1706
857	10231	1693
858	10237	1680
859	10242	1667
860	10246	1654
861	10252	1641
862	10257	1628
863	10262	1615
864	10267	1602
865	10272	1589
866	10277	1576
867	10283	1563
868	10288	1550
869	10293	1538
870	10298	1525
871	10303	1512
872	10308	1499
873	10313	1486
874	10318	1474
875	10323	1461
876	10328	1448
877	10333	1435
878	10338	1423
879	10343	1410
880	10348	1397
881	10353	1385
882	10358	1372
883	10363	1359
884	10369	1347
885	10373	1334
886	10380	1322
887	10388	1310
888	10393	1297
889	10398	1285
890	10403	1272
891	10409	1260
892	10414	1247
893	10419	1235
894	10424	1223
895	10430	1210
896	10434	1198
897	10440	1185
898	10445	1173
899	10449	1161
900	10455	1148
901	10459	1136
902	10464	1124
903	10470	1111
904	10474	1099
905	10480	1087
906	10484	1075
907	10490	1062
908	10499	1051
909	10505	1038
910	10510	1026
911	10515	1014
912	10529	1003
913	10546	992
914	10552	980
915	10557	968
916	10565	956
917	10570	944
918	10577	932
919	10582	920
920	10587	908
921	10593	896
922	10598	884
923	10603	872
924	10608	860
925	10613	848
926	10618	836
927	10623	824
928	10629	812
929	10633	800
930	10639	788
931	10643	776
932	10648	764
933	10653	752
934	10659	741
935	10664	729
936	10669	717
937	10675	705
938	10680	693
939	10685	682
940	10691	670
941	10696	658
942	10701	646
943	10706	635
944	10712	623
945	10717	611
946	10722	600
947	10727	588
948	10733	576
949	10738	565
950	10743	553
951	10747	541
952	10753	530
953	10758	518
954	10763	507
955	10768	495
956	10773	484
957	10778	472
958	10783	461
959	10789	449
960	10794	438
961	10800	426
962	10805	415
963	10810	403
964	10815	392
965	10820	380
966	10825	369
967	10830	358
968	10835	346
969	10841	335
970	10846	323
971	10851	312
972	10856	301
973	10862	289
974	10867	278
975	10872	267
976	10878	256
977	10883	244
978	10888	233
979	10893	222
980	10898	211
981	10908	199
982	10913	188
983	10918	177
984	10923	166
985	10928	155
986	10933	144
987	10939	132
988	10944	121
989	10949	110
990	10955	99
991	10959	88
992	10964	77
993	10969	66
994	10975	55
995	10980	44
996	10985	33
997	10990	22
998	10995	11
999	11000	0
